Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Dancing with the Pope","The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/108374157/dancing-with-the-pope,2.5,-1,Sport,5.10b/c,1,,36.09709,-81.7719
"Crimps and Slopers","Section 4 > Rocky Face Recreational Area > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/108577066/crimps-and-slopers,2.6,-1,Sport,5.10b/c,1,50,35.96367,-81.11972
"Peg Leg","Sunken Treasure > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/107199086/peg-leg,3.1,-1,Trad,5.10b/c,1,50,36.09553,-81.80047
Humdinger,"Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/106058103/humdinger,3.8,-1,Trad,"5.10b/c PG13",2,250,35.83139,-81.90257
"The Black Hole","04. Copper Top > Pilot Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/118093527/the-black-hole,2.4,-1,Sport,5.10b/c,1,50,36.34032,-80.4855
"Just Another Pretty Face","Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/106029525/just-another-pretty-face,3.4,-1,"Trad, Sport",5.10b/c,2,210,35.83139,-81.90257
"Ellie Raynolds Memorial Buttress","Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/106478843/ellie-raynolds-memorial-buttress,2.4,-1,Trad,5.10b/c,3,250,35.88831,-81.88519
"Granite Man","Desperado Wall > The Dark Side (Closed to climbing, included for historic reference) > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106234624/granite-man,3.3,-1,"Trad, Sport",5.10b/c,1,95,35.6037,-79.2773
Delapidated,"North Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/119646732/delapidated,2.8,-1,Trad,5.10b/c,1,,35.30546,-82.79093
"Scars on a Landscape","Big Green > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/109692960/scars-on-a-landscape,3.0,-1,Trad,5.10b/c,2,375,35.1562,-83.0281
"A Boy Named Trad","Upper Tier > Eagle Rock > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106066857/a-boy-named-trad,3.0,-1,"Trad, Sport",5.10b/c,1,50,35.60369,-79.27729
"Joy Loader","North End > Moore's Wall (Routes) > Moore's Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/108236934/joy-loader,2.8,-1,Trad,5.10b/c,1,100,36.3979,-80.2917
"New Species","Big Green > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/107907343/new-species,3.0,-1,Trad,5.10b/c,2,250,35.1562,-83.0281
"The Green Wave","Middle Hawksbill > Hawksbill Mtn > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/107681650/the-green-wave,2.4,-1,Trad,5.10b/c,1,90,35.91263,-81.88769
"Toilet Bowl","Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/108550124/toilet-bowl,2.7,-1,"Trad, Sport","5.10b/c R",1,100,36.3916,-81.0473
"Knuckle Balls","Left Field > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106331726/knuckle-balls,2.7,-1,Trad,"5.10b/c PG13",1,120,35.449,-82.2143
"Two Step","04. David's Castle Wall > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107217927/two-step,2.0,-1,Sport,5.10b/c,1,25,35.2331,-81.2745
"Bedroom Rodeo","Little Ass Kicker > Lower Wall > Cooks Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/113936676/bedroom-rodeo,2.4,-1,Sport,5.10b/c,1,40,36.37966,-80.29252
"Snake Charmer","Lower Tier > Section 5 > Rocky Face Recreational Area > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/108625387/snake-charmer,2.1,-1,Sport,5.10b/c,1,50,35.96294,-81.11888
"The Space Between Worlds","Sky Pilot Area > West Walls > Cooks Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/114097299/the-space-between-worlds,2.5,-1,Trad,5.10b/c,1,100,36.38164,-80.29624
"Buttress Hop","North Eagle > Eagle Rock > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/116707034/buttress-hop,2.0,-1,Trad,5.10b/c,2,,35.47432,-82.2371
"Route 2","Route 181 Rock face > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/120201462/route-2,2.0,-1,"Trad, TR, Boulder","5.10b/c V1-2",1,20,35.9572,-81.85848
"Light Thoughts...","Linville River Crag > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/107636540/light-thoughts,2.0,-1,Trad,5.10b/c,1,45,35.89766,-81.90086
