Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Outside R C","West Post > East Bluff 03 - West of the Quarry > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106709237/outside-r-c,2.8,-1,"Trad, TR",5.11a,1,30,43.41281,-89.70815
"Triple Overhang","Wisconsin Strip > Interstate Park > Northwest > Wisconsin",https://www.mountainproject.com/route/106713810/triple-overhang,2.4,-1,"Trad, TR",5.11a,1,,45.39976,-92.64984
"Mr. Bunney Meets The Poultry Man","11: Bill's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107641737/mr-bunney-meets-the-poultry-man,2.3,-1,"Trad, TR","5.11a PG13",1,100,43.41366,-89.71414
Moondust,"2.  Balanced Rock Wall > East Bluff 06 - Balanced Rock > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106376228/moondust,2.3,-1,Trad,5.11a,1,45,43.41436,-89.72501
"Cross Over Artist","Rod's Area > Interstate Park > Northwest > Wisconsin",https://www.mountainproject.com/route/106713764/cross-over-artist,2.0,-1,"Trad, TR",5.11a,1,,45.39891,-92.64959
"High Step","Vulture Lookout > East Bluff 03 - West of the Quarry > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/122187008/high-step,2.0,-1,"Trad, TR",5.11a,1,20,43.4132,-89.704
"Ironmongers Super Direct","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107698064/ironmongers-super-direct,2.0,-1,"Trad, TR",5.11a,1,50,43.41359,-89.71252
"Jungle VIP","12: Rainy Wednesday Tower > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107833465/jungle-vip,2.5,-1,TR,5.11a,1,60,43.41361,-89.71457
Stiletto,"The Blade > West Bluff 04 - Great Tower Area > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107590795/stiletto,2.0,-1,"Trad, TR","5.11a PG13",1,45,43.41853,-89.7378
"White Wasp","Red Nose Wall > East Bluff 03 - West of the Quarry > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109077815/white-wasp,2.0,-1,"Trad, TR",5.11a,1,30,43.4129,-89.70505
"Arm Power","Pearly Gate > West Bluff 06 - West Bluff Towers > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107506989/arm-power,2.0,-1,"Trad, TR",5.11a,1,40,43.42501,-89.73733
