Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"That Eight","Narcissus Cave > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105992317/that-eight,2.4,-1,Sport,5.8-,1,70,38.24193,-80.84067
Synergy,"Ninja Wall > Guide Wall > Smoke Hole Canyon > Eastern WV > West Virginia",https://www.mountainproject.com/route/116720695/synergy,2.4,-1,Sport,5.8-,1,40,38.87567,-79.26769
"Krick in the Nuts","5 First Strike Area > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/122235066/krick-in-the-nuts,2.0,-1,Trad,"5.8- R",1,80,38.07637,-81.07911
