Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Oops,"k. Oops Wall > Peterskill > The Gunks > New York",https://www.mountainproject.com/route/105910451/oops,3.6,-1,"Trad, TR",5.10-,1,75,41.7397,-74.21534
"Reach For The Sky","Right End > Deadwater > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/106445036/reach-for-the-sky,3.3,-1,Trad,5.10-,1,70,44.06109,-73.66381
"PF Flyers","Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York",https://www.mountainproject.com/route/106446984/pf-flyers,3.0,-1,Trad,5.10-,1,60,44.23598,-73.86449
"Son of Slime","Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/108339856/son-of-slime,3.3,-1,Trad,"5.10- PG13",2,,44.40783,-73.50371
Blockus,"Never Never Land > Silver Lake > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/107866021/blockus,3.0,-1,Trad,5.10-,1,70,44.5156,-73.8232
Bleach,"9. Jersey Volunteers > p. East End > Powerlinez > New York",https://www.mountainproject.com/route/119864931/bleach,3.0,-1,TR,5.10-,1,35,41.14626,-74.16283
"Right Off Block","d. The Fortress > z.. Dickie Barre (upper PK cliff) > Peterskill > The Gunks > New York",https://www.mountainproject.com/route/111931923/right-off-block,3.0,-1,TR,5.10-,1,60,41.74466,-74.21484
Trillium,"Wayback Cliff > Silver Lake > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/111879027/trillium,3.0,-1,Trad,5.10-,2,330,44.51817,-73.81084
"Triple Overhang","Moss Island > Little Falls > New York",https://www.mountainproject.com/route/107805474/triple-overhang,2.5,-1,TR,5.10-,1,30,43.03907,-74.84845
"Mookie's Delight","Sunset Wall > Horseshoe North Cliff > Thacher State Park > New York",https://www.mountainproject.com/route/118225114/mookies-delight,2.5,-1,Sport,5.10-,1,50,42.65989,-74.018
"Prince of Darkness","Moss Island > Little Falls > New York",https://www.mountainproject.com/route/107635692/prince-of-darkness,2.7,-1,TR,5.10-,1,30,43.03907,-74.84845
"Fang This!","7. Puzzle Palace > n. Perched Ramparts > Powerlinez > New York",https://www.mountainproject.com/route/109564660/fang-this,2.6,-1,TR,5.10-,1,,41.14544,-74.16432
"The Toxic Avenger","Green Lake Cliff > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/121593731/the-toxic-avenger,2.0,-1,"Trad, TR",5.10-,1,45,43.17602,-74.4985
"Fox Jaw","2. Gravitas > f. Yankee Ramparts > Powerlinez > New York",https://www.mountainproject.com/route/113699400/fox-jaw,2.0,-1,TR,5.10-,1,35,41.14697,-74.17083
"Tombstone Arete","State Brook > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/119388718/tombstone-arete,2.0,-1,Trad,5.10-,1,50,43.26951,-74.56834
Arachibutyrophobia,"Peanut Butter and Jelly Crag > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/122962698/arachibutyrophobia,2.0,-1,"Trad, TR",5.10-,1,25,43.21739,-74.39558
